#F f1f2_EPDL97.dat
#C  This file has been created using f1f2_EPDL97.pro 
#D  Fri Sep 11 10:19:50 1998
#C  This file belongs to the DABAX library. More information on
#C  DABAX can be found at:
#C  http://www.esrf.fr/computing/scientific/dabax
#UIDL xf1f2
#UT Elastic Photon-Atom Scattering, anomalous scattering factors.
#UD Elastic Photon-Atom Scattering, anomalous scattering factors.
#UD 
#UD The anomalous scattering factors stored in this file come from the 
#UD Evaluated Photon Data Library (EPDL) from the Lawrence Livermore 
#UD National Laboratory: 
#UD    "EPDL97 The Evaluated Data Library, 97 Version"
#UD     Dermott E Cullen, John H Hubbel, Lynn Kissel
#UD        UCRL-50400, Vol 6, Rev 5 (Sep 19 1997)
#UD 
#UD Availability:
#UD In USA: contact the Radiation Safety Information Computational 
#UD         Center (RSICC):
#UD         http://epicws.cped.ornl.gov/rsic.html
#UD In Europe Korea and Japan: contact the Nuclear Energy Agence:
#UD         http://www.nea.fr
#UD The data in this file are valid in the energy range 1.0 eV to 1.0 MeV 
#UD for the elements Z = 1 - 100.
#UD Column description: 1:PhotonEnergy[eV]  2:f1  3:f2
#UD 
#S  1 H 
#UF1ADD 0.0
#N 3
#L PhotonEnergy[eV]  f1  f2
     19.96205      4.429622      23.22379 
     19.96751      3.850274      23.32288 
     19.98660      1.918283      23.66932 
     19.99138      1.424111      23.75603 
     19.99966     0.5208330      23.90629 
     20.00498    -0.1381140      24.00284 
     20.00889    -0.6799200      24.07381 
     20.05376      3.726500      23.00897 
     20.05599      4.011446      22.95605 
     20.06154      4.607306      22.82434 
     20.07098      5.507691      22.27859 
     20.11045      8.912189      19.99684 
     20.14017      10.78512      17.58554 
     20.16640      12.05449      15.45745 
     20.18611      12.58774      13.85843 
     20.19793      12.90755      12.89600 
     20.23923      13.19916      9.533126 
     20.24599      13.10337      8.982595 
     20.28804      12.50765      6.196805 
     20.29405      12.33676      5.798645 
     20.34211      10.97022      3.455464 
     20.39017      9.444714      1.900821 
     20.40669      8.920410      1.575884 
     20.46221      7.450356     0.4837078 
     20.47419      7.133159     0.2426511 
     20.48618      6.682049   0.001374792 
     20.48629      6.677943      0.000000 
     20.49671      6.285959      0.000000 
     20.52433      5.574565      0.000000 
     20.56340      4.825627      0.000000 
     20.61333      4.087477      0.000000 
     20.66038      3.526870      0.000000 
     20.70454      3.080411      0.000000 
     20.74598      2.712965      0.000000 
     20.76573      2.551753      0.000000 
     20.80401      2.260098      0.000000 
     20.83989      2.007793      0.000000 
     20.87353      1.786326      0.000000 
     20.90506      1.589292      0.000000 
     20.99006      1.097083      0.000000 
